//-------------------------------------------------------
// Code origin : ondrej.mikulec
// Source color https://en.wikipedia.org/wiki/Web_colors
//-------------------------------------------------------
Red|1.0 0.0 0.0
Green|0.0 0.50196 0.0
Blue|0.0 0.0 1.0
White|1.0 1.0 1.0
Yellow|1.0 1.0 0.0
Magenta|1.0 0.0 1.0
Cyan|0.0 1.0 1.0
Aqua|0.0 1.0 1.0
Pink|1.0 0.75294 0.79608
Orange|1.0 0.64706 0.0
Brown|0.64706 0.16471 0.16471
Indigo|0.29412 0.0 0.5098
Gray|0.50196 0.50196 0.50196
DarkOliveGreen|0.33333 0.41961 0.18431
Lavender|0.90196 0.90196 0.98039
Snow|1.0 0.98039 0.98039
LightSteelBlue|0.6902 0.76863 0.87059
LightPink|1.0 0.71373 0.75686
LightSalmon|1.0 0.62745 0.47843
OrangeRed|1.0 0.27059 0.0
LightYellow|1.0 1.0 0.87843
Cornsilk|1.0 0.97255 0.86275
DarkSlateBlue|0.28235 0.23922 0.5451
Gainsboro|0.86275 0.86275 0.86275
Olive|0.50196 0.50196 0.0
Thistle|0.84706 0.74902 0.84706
Honeydew|0.94118 1.0 0.94118
LightCyan|0.87843 1.0 1.0
PowderBlue|0.6902 0.87843 0.90196
HotPink|1.0 0.41176 0.70588
Salmon|0.98039 0.50196 0.44706
Tomato|1.0 0.38824 0.27843
LemonChiffon|1.0 0.98039 0.80392
BlanchedAlmond|1.0 0.92157 0.80392
SlateBlue|0.41569 0.35294 0.80392
LightGray|0.82745 0.82745 0.82745
OliveDrab|0.41961 0.55686 0.13725
Plum|0.86667 0.62745 0.86667
MintCream|0.96078 1.0 0.98039
PaleTurquoise|0.68627 0.93333 0.93333
LightBlue|0.67843 0.84706 0.90196
DeepPink|1.0 0.07843 0.57647
DarkSalmon|0.91373 0.58824 0.47843
Coral|1.0 0.49804 0.31373
LightGoldenrodYellow|0.98039 0.98039 0.82353
Bisque|1.0 0.89412 0.76863
MediumSlateBlue|0.48235 0.40784 0.93333
Silver|0.75294 0.75294 0.75294
YellowGreen|0.60392 0.80392 0.19608
Violet|0.93333 0.5098 0.93333
Azure|0.94118 1.0 1.0
Aquamarine|0.49804 1.0 0.83137
SkyBlue|0.52941 0.80784 0.92157
PaleVioletRed|0.85882 0.43922 0.57647
LightCoral|0.94118 0.50196 0.50196
DarkOrange|1.0 0.54902 0.0
PapayaWhip|1.0 0.93725 0.83529
NavajoWhite|1.0 0.87059 0.67843
DarkGray|0.66275 0.66275 0.66275
LimeGreen|0.19608 0.80392 0.19608
Orchid|0.8549 0.43922 0.83922
AliceBlue|0.94118 0.97255 1.0
Turquoise|0.25098 0.87843 0.81569
LightSkyBlue|0.52941 0.80784 0.98039
MediumVioletRed|0.78039 0.08235 0.52157
IndianRed|0.80392 0.36078 0.36078
Moccasin|1.0 0.89412 0.7098
Wheat|0.96078 0.87059 0.70196
DimGray|0.41176 0.41176 0.41176
Lime|0.0 1.0 0.0
Fuchsia|1.0 0.0 1.0
GhostWhite|0.97255 0.97255 1.0
MediumTurquoise|0.28235 0.81961 0.8
DeepSkyBlue|0.0 0.74902 1.0
Crimson|0.86275 0.07843 0.23529
PeachPuff|1.0 0.8549 0.72549
BurlyWood|0.87059 0.72157 0.52941
LightSlateGray|0.46667 0.53333 0.6
LawnGreen|0.48627 0.98824 0.0
MediumOrchid|0.72941 0.33333 0.82745
WhiteSmoke|0.96078 0.96078 0.96078
DarkTurquoise|0.0 0.80784 0.81961
DodgerBlue|0.11765 0.56471 1.0
FireBrick|0.69804 0.13333 0.13333
PaleGoldenrod|0.93333 0.9098 0.66667
Tan|0.82353 0.70588 0.54902
SlateGray|0.43922 0.50196 0.56471
Chartreuse|0.49804 1.0 0.0
MediumPurple|0.57647 0.43922 0.85882
Seashell|1.0 0.96078 0.93333
LightSeaGreen|0.12549 0.69804 0.66667
CornflowerBlue|0.39216 0.58431 0.92941
DarkRed|0.5451 0.0 0.0
Khaki|0.94118 0.90196 0.54902
RosyBrown|0.73725 0.56078 0.56078
DarkSlateGray|0.18431 0.3098 0.3098
GreenYellow|0.67843 1.0 0.18431
BlueViolet|0.54118 0.16863 0.88627
Beige|0.96078 0.96078 0.86275
CadetBlue|0.37255 0.61961 0.62745
SteelBlue|0.27451 0.5098 0.70588
DarkKhaki|0.74118 0.71765 0.41961
SandyBrown|0.95686 0.64314 0.37647
Black|0.0 0.0 0.0
SpringGreen|0.0 1.0 0.49804
DarkViolet|0.58039 0.0 0.82745
OldLace|0.99216 0.96078 0.90196
DarkCyan|0.0 0.5451 0.5451
RoyalBlue|0.2549 0.41176 0.88235
Gold|1.0 0.84314 0.0
Goldenrod|0.8549 0.64706 0.12549
MediumSpringGreen|0.0 0.98039 0.60392
DarkOrchid|0.6 0.19608 0.8
FloralWhite|1.0 0.98039 0.94118
Teal|0.0 0.50196 0.50196
MediumBlue|0.0 0.0 0.80392
DarkGoldenrod|0.72157 0.52549 0.04314
LightGreen|0.56471 0.93333 0.56471
DarkMagenta|0.5451 0.0 0.5451
Ivory|1.0 1.0 0.94118
DarkBlue|0.0 0.0 0.5451
Peru|0.80392 0.52157 0.24706
PaleGreen|0.59608 0.98431 0.59608
Purple|0.50196 0.0 0.50196
AntiqueWhite|0.98039 0.92157 0.84314
Navy|0.0 0.0 0.50196
Chocolate|0.82353 0.41176 0.11765
DarkSeaGreen|0.56078 0.73725 0.56078
Linen|0.98039 0.94118 0.90196
MidnightBlue|0.09804 0.09804 0.43922
SaddleBrown|0.5451 0.27059 0.07451
MediumAquamarine|0.4 0.80392 0.66667
LavenderBlush|1.0 0.94118 0.96078
Sienna|0.62745 0.32157 0.17647
MediumSeaGreen|0.23529 0.70196 0.44314
MistyRose|1.0 0.89412 0.88235
Maroon|0.50196 0.0 0.0
SeaGreen|0.18039 0.5451 0.34118
MediumStateBlue|0.50196 0.50196 1.0
ForestGreen|0.13333 0.5451 0.13333
Brun|0.50196 0.0 0.25098
DarkGreen|0.0 0.39216 0.0
DarkSlateGrey|0.0 0.25098 0.25098
